"date_id","Symbol","A000070","A003200","A016800","A005720","A015350","A033660","A007160","A000320","A004700","A014280","A003070","A000860","A005810","A000430","A092230","A002620","A007700","A013520","A002390","A004970","A025000","A035510","A067830","A000540","A006220","A015360","A004250","A001940","A021820","A136490"
146,"2015-08-03","8,564,271","2,400,000","11,500,000","5,088,017","11,000,000","57,545,890","5,000,000","13,198,611","6,649,138","4,855,964","16,438,510","6,500,000","7,835,167","62,000,000","4,224,646","14,850,000","15,400,000","6,456,121","12,594,080","16,000,000","4,840,000","1,720,000","41,040,895","64,242,645","22,128,774","6,000,000","36,720,000","3,695,276","10,000,000","8,140,000"
147,"2015-08-04","8,564,271","2,400,000","11,500,000","5,088,017","11,000,000","57,545,890","5,000,000","13,198,611","6,649,138","4,855,964","16,438,510","6,500,000","7,835,167","62,000,000","4,224,646","14,850,000","15,400,000","6,456,121","12,594,080","16,000,000","4,840,000","1,720,000","41,040,895","64,242,645","22,128,774","6,000,000","36,720,000","3,695,276","10,000,000","8,140,000"
148,"2015-08-05","8,564,271","2,400,000","11,500,000","5,088,017","11,000,000","57,545,890","5,000,000","13,198,611","6,649,138","4,855,964","16,438,510","6,500,000","7,835,167","62,000,000","4,224,646","14,850,000","15,400,000","6,456,121","12,594,080","16,000,000","4,840,000","1,720,000","41,040,895","64,242,645","22,128,774","6,000,000","36,720,000","3,695,276","10,000,000","8,140,000"
149,"2015-08-06","8,564,271","2,400,000","11,500,000","5,088,017","11,000,000","57,545,890","5,000,000","13,198,611","6,649,138","4,855,964","16,438,510","6,500,000","7,835,167","62,000,000","4,224,646","14,850,000","15,400,000","6,456,121","12,594,080","16,000,000","4,840,000","1,720,000","41,040,895","64,242,645","22,128,774","6,000,000","36,720,000","3,695,276","10,000,000","8,140,000"
150,"2015-08-07","8,564,271","2,400,000","11,500,000","5,088,017","11,000,000","57,545,890","5,000,000","13,198,611","6,649,138","4,855,964","16,438,510","6,500,000","7,835,167","62,000,000","4,224,646","14,850,000","15,400,000","6,456,121","12,594,080","16,000,000","4,840,000","1,720,000","41,040,895","64,242,645","22,128,774","6,000,000","36,720,000","3,695,276","10,000,000","8,140,000"
151,"2015-08-10","8,564,271","2,400,000","11,500,000","5,088,017","11,000,000","57,545,890","5,000,000","13,198,611","6,649,138","4,855,964","16,438,510","6,500,000","7,835,167","62,000,000","4,224,646","14,850,000","15,400,000","6,456,121","12,594,080","16,000,000","4,840,000","1,720,000","41,040,895","64,242,645","22,128,774","6,000,000","36,720,000","3,695,276","10,000,000","8,140,000"
152,"2015-08-11","8,564,271","2,400,000","11,500,000","5,088,017","11,000,000","57,545,890","5,000,000","13,198,611","6,649,138","4,855,964","16,438,510","6,500,000","7,835,167","62,000,000","4,224,646","14,850,000","15,400,000","6,456,121","12,594,080","16,000,000","4,840,000","1,720,000","41,040,895","64,242,645","22,128,774","6,000,000","36,720,000","3,695,276","10,000,000","8,140,000"
153,"2015-08-12","8,564,271","2,400,000","11,500,000","5,088,017","11,000,000","57,545,890","5,000,000","13,198,611","6,649,138","4,855,964","16,438,510","6,500,000","7,835,167","62,000,000","4,224,646","14,850,000","15,400,000","6,456,121","12,594,080","16,000,000","4,840,000","1,720,000","41,040,895","64,242,645","22,128,774","6,000,000","36,720,000","3,695,276","10,000,000","8,140,000"
154,"2015-08-13","8,564,271","2,400,000","11,500,000","5,088,017","11,000,000","57,545,890","5,000,000","13,198,611","6,649,138","4,855,964","16,438,510","6,500,000","7,835,167","62,000,000","4,224,646","14,850,000","15,400,000","6,456,121","12,594,080","16,000,000","4,840,000","1,720,000","41,040,895","64,242,645","22,128,774","6,000,000","36,720,000","3,695,276","10,000,000","8,140,000"
155,"2015-08-17","8,564,271","2,400,000","11,500,000","5,088,017","11,000,000","57,545,890","5,000,000","13,198,611","6,649,138","4,855,964","16,438,510","6,500,000","7,835,167","62,000,000","4,224,646","14,850,000","15,400,000","6,456,121","12,594,080","16,000,000","4,840,000","1,720,000","41,040,895","64,242,645","22,128,774","6,000,000","36,720,000","3,695,276","10,000,000","8,140,000"
156,"2015-08-18","8,564,271","2,400,000","11,500,000","5,088,017","11,000,000","57,545,890","5,000,000","13,198,611","6,649,138","4,855,964","16,438,510","6,500,000","7,835,167","62,000,000","4,224,646","14,850,000","15,400,000","6,456,121","12,594,080","16,000,000","4,840,000","1,720,000","41,040,895","64,242,645","22,128,774","6,000,000","36,720,000","3,695,276","10,000,000","8,140,000"
157,"2015-08-19","8,564,271","2,400,000","11,500,000","5,088,017","11,000,000","57,545,890","5,000,000","13,198,611","6,649,138","4,855,964","16,438,510","6,500,000","7,835,167","62,000,000","4,224,646","14,850,000","15,400,000","6,456,121","12,594,080","16,000,000","4,840,000","1,720,000","41,040,895","64,242,645","22,128,774","6,000,000","36,720,000","3,695,276","10,000,000","8,140,000"
158,"2015-08-20","8,564,271","2,400,000","11,500,000","5,088,017","11,000,000","57,545,890","5,000,000","13,198,611","6,649,138","4,855,964","16,438,510","6,500,000","7,835,167","62,000,000","4,224,646","14,850,000","15,400,000","6,456,121","12,594,080","16,000,000","4,840,000","1,720,000","41,040,895","64,242,645","22,128,774","6,000,000","36,720,000","3,695,276","10,000,000","8,140,000"
159,"2015-08-21","8,564,271","2,400,000","11,500,000","5,088,017","11,000,000","57,545,890","5,000,000","13,198,611","6,649,138","4,855,964","16,438,510","6,500,000","7,835,167","62,000,000","4,224,646","14,850,000","15,400,000","6,456,121","12,594,080","16,000,000","4,840,000","1,720,000","41,040,895","64,242,645","22,128,774","6,000,000","36,720,000","3,695,276","10,000,000","8,140,000"
160,"2015-08-24","8,564,271","2,400,000","11,500,000","5,088,017","11,000,000","57,545,890","5,000,000","13,198,611","6,649,138","4,855,964","16,438,510","6,500,000","7,835,167","62,000,000","4,224,646","14,850,000","15,400,000","6,456,121","12,594,080","16,000,000","4,840,000","1,720,000","41,040,895","64,242,645","22,128,774","6,000,000","36,720,000","3,695,276","10,000,000","8,140,000"
161,"2015-08-25","8,564,271","2,400,000","11,500,000","5,088,017","11,000,000","57,545,890","5,000,000","13,198,611","6,649,138","4,855,964","16,438,510","6,500,000","7,835,167","62,000,000","4,224,646","14,850,000","15,400,000","6,456,121","12,594,080","16,000,000","4,840,000","1,720,000","41,040,895","64,242,645","22,128,774","6,000,000","36,720,000","3,695,276","10,000,000","8,140,000"
162,"2015-08-26","8,564,271","2,400,000","11,500,000","5,088,017","11,000,000","57,545,890","5,000,000","13,198,611","6,649,138","4,855,964","16,438,510","6,500,000","7,835,167","62,000,000","4,224,646","14,850,000","15,400,000","6,456,121","12,594,080","16,000,000","4,840,000","1,720,000","41,040,895","64,242,645","22,128,774","6,000,000","36,720,000","3,695,276","10,000,000","8,140,000"
163,"2015-08-27","8,564,271","2,400,000","11,500,000","5,088,017","11,000,000","57,545,890","5,000,000","13,198,611","6,649,138","4,855,964","16,438,510","6,500,000","7,835,167","62,000,000","4,224,646","14,850,000","15,400,000","6,456,121","12,594,080","16,000,000","4,840,000","1,720,000","41,040,895","64,242,645","22,128,774","6,000,000","36,720,000","3,695,276","10,000,000","8,140,000"
164,"2015-08-28","8,564,271","2,400,000","11,500,000","5,088,017","11,000,000","57,545,890","5,000,000","13,198,611","6,649,138","4,855,964","16,438,510","6,500,000","7,835,167","62,000,000","4,224,646","14,850,000","15,400,000","6,456,121","12,594,080","16,000,000","4,840,000","1,720,000","41,040,895","64,242,645","22,128,774","6,000,000","36,720,000","3,695,276","10,000,000","8,140,000"
165,"2015-08-31","8,564,271","2,400,000","11,500,000","5,088,017","11,000,000","57,545,890","5,000,000","13,198,611","6,649,138","4,855,964","16,438,510","6,500,000","7,835,167","62,000,000","4,224,646","14,850,000","15,400,000","6,456,121","12,594,080","16,000,000","4,840,000","1,720,000","41,040,895","64,242,645","22,128,774","6,000,000","36,720,000","3,695,276","10,000,000","8,140,000"
166,"2015-09-01","8,564,271","2,400,000","11,500,000","5,088,017","11,000,000","57,545,890","5,000,000","13,198,611","6,649,138","4,855,964","16,438,510","6,500,000","7,835,167","62,000,000","4,224,646","14,850,000","15,400,000","6,456,121","12,594,080","16,000,000","4,840,000","1,720,000","41,040,895","64,242,645","22,128,774","6,000,000","36,720,000","3,695,276","10,000,000","8,140,000"
167,"2015-09-02","8,564,271","2,400,000","11,500,000","5,088,017","11,000,000","57,545,890","5,000,000","13,198,611","6,649,138","4,855,964","16,438,510","6,500,000","7,835,167","62,000,000","4,224,646","14,850,000","15,400,000","6,456,121","12,594,080","16,000,000","4,840,000","1,720,000","41,040,895","64,242,645","22,128,774","6,000,000","36,720,000","3,695,276","10,000,000","8,140,000"
