"date_id","TRD_DD","ISU_CD","PE","sig.s","sig.p"
123,20150701,"KR7000070003",0.0825716035487795,0.00109021140100038,0.0132032242822598
123,20150701,"KR7000320002",0.210657747099714,0.000906838436051482,0.00430479509316235
123,20150701,"KR7000430009",0.148962856611641,0.000983597864758651,0.00660297397037019
123,20150701,"KR7000540005",0.13373085969447,0.00144201750682156,0.0107829824029853
123,20150701,"KR7000860007",0.08422269539858,0.00112959723890306,0.0134120290683799
123,20150701,"KR7001940006",0.366348207787353,0.00232283425553245,0.00634050940104704
123,20150701,"KR7002390003",0.0928728271678019,0.000886630061118419,0.00954671121959562
123,20150701,"KR7002620003",0.210115291397295,0.000877752759381682,0.00417748157949146
123,20150701,"KR7003070000",0.0512553465918653,0.0007297063253231,0.0142366869769428
123,20150701,"KR7003200003",0.118240838425924,0.00153762113860581,0.0130041461061619
123,20150701,"KR7004250007",0.324139218216537,0.00364898970192712,0.0112574767163456
123,20150701,"KR7004700001",0.521033428889026,0.00179489389027565,0.00344487280615145
123,20150701,"KR7004970000",NA,NA,NA
123,20150701,"KR7005720008",0.433480035846796,0.00114671975316185,0.00264538077496868
123,20150701,"KR7005810007",0.223421058643203,0.00105099686390387,0.00470410833377294
123,20150701,"KR7006220008",0.191574129321355,0.00228077576037468,0.0119054476116073
123,20150701,"KR7007160005",0.11240967952799,0.000695713447411991,0.00618908843378348
123,20150701,"KR7007700008",0.381989031844761,0.00131698014215551,0.0034476909868206
123,20150701,"KR7013520002",0.151436195145733,0.000618265685446349,0.0040826810581933
123,20150701,"KR7014280002",0.522271553463003,0.00141302093761707,0.00270552919883884
123,20150701,"KR7015350002",0.161383706273726,0.000334189397095748,0.0020707753267788
123,20150701,"KR7015360001",0.184672715508414,0.000533060118712138,0.00288651259199062
123,20150701,"KR7016800005",0.219602889800303,0.00163423173162613,0.00744175877244707
123,20150701,"KR7021820006",0.269378738664042,0.00217487586291625,0.00807367305119305
123,20150701,"KR7025000001",0.199919414888282,0.00104946785546692,0.00524945441668775
123,20150701,"KR7033660002",0.27760249495406,0.00124157593391276,0.00447249558804658
123,20150701,"KR7035510007",0.272720062528543,0.00182640832725524,0.00669700758470634
123,20150701,"KR7067830000",0.164991688954174,0.00081661183391992,0.00494941193157147
123,20150701,"KR7092230002",0.308218415397961,0.00108812216160154,0.00353036063791513
123,20150701,"KR7136490000",0.166057473299755,0.00152108884697925,0.00916001440196244
124,20150702,"KR7000070003",0.0497241662175618,0.000992282228761426,0.0199557338864129
124,20150702,"KR7000320002",0.065045589292206,0.000627283357567429,0.00964374932094884
124,20150702,"KR7000430009",0.431415666713394,0.00170319168511038,0.00394791338498579
124,20150702,"KR7000540005",0.648657816250903,0.00367958737772197,0.00567261703403062
124,20150702,"KR7000860007",0.232507572871433,0.000869678319185407,0.00374043007909382
124,20150702,"KR7001940006",0.171524997758024,0.00118985426508105,0.00693691462255328
124,20150702,"KR7002390003",0.0771600394308826,0.000798352800637352,0.0103467132278035
124,20150702,"KR7002620003",0.257694018024088,0.000747947538640276,0.00290246372180188
124,20150702,"KR7003070000",0.197085770308439,0.00124204675038066,0.00630206203338198
124,20150702,"KR7003200003",0.0877096236071172,0.000858667708396021,0.00978989161146445
124,20150702,"KR7004250007",NA,NA,NA
124,20150702,"KR7004700001",0.183006493586425,0.00128925829830584,0.00704487733216407
124,20150702,"KR7004970000",0.222990259575127,0.000876872638556511,0.00393233605910525
124,20150702,"KR7005720008",0.191207247574923,0.000812843561928567,0.00425111271794266
124,20150702,"KR7005810007",0.344457455095584,0.00117444798723751,0.00340955891609782
124,20150702,"KR7006220008",0.0465034337584676,0.00195911069991934,0.0421283019678653
124,20150702,"KR7007160005",0.0457866354472801,0.000531031133385483,0.0115979505416363
124,20150702,"KR7007700008",0.192283131745263,0.00143802667213615,0.0074786938359276
124,20150702,"KR7013520002",0.169880391997108,0.00159482772185975,0.00938794467749349
124,20150702,"KR7014280002",0.423698015512792,0.00155779680882319,0.00367666770149448
124,20150702,"KR7015350002",0.185545026916632,0.000639409623626069,0.00344611566395344
124,20150702,"KR7015360001",0.45977924811693,0.000735033365056658,0.0015986658120545
124,20150702,"KR7016800005",0.240575308571204,0.00172617807929822,0.00717520883398272
124,20150702,"KR7021820006",0.41749975057364,0.00221374772612255,0.00530239293096796
124,20150702,"KR7025000001",0.0609269671570549,0.000649462872191904,0.0106596947541759
124,20150702,"KR7033660002",0.224328432963184,0.00125046925974041,0.00557427894102766
124,20150702,"KR7035510007",0.189782409702527,0.00173464144348124,0.00914015922866715
124,20150702,"KR7067830000",0.243113218369671,0.000813454195777164,0.00334598917011682
124,20150702,"KR7092230002",0.206460199030783,0.001215043661791,0.00588512298009478
124,20150702,"KR7136490000",0.0536621076466514,0.000634666865599615,0.0118270953831837
125,20150703,"KR7000070003",0.0629662474361659,0.000954658553653638,0.0151614331888121
125,20150703,"KR7000320002",0.124810632538073,0.000840775021135384,0.00673640541705381
125,20150703,"KR7000430009",0.477959454226631,0.00176263212773816,0.00368782772712427
125,20150703,"KR7000540005",0.224004080386352,0.00211866373716852,0.00945814796549396
125,20150703,"KR7000860007",0.28288580676042,0.00107597675799364,0.00380357279255405
125,20150703,"KR7001940006",0.235813560560784,0.00118511829871843,0.00502565796428384
125,20150703,"KR7002390003",0.0394845048772437,0.000541357977185459,0.0137106436782866
125,20150703,"KR7002620003",0.129743119207037,0.000680004555250062,0.0052411608369377
125,20150703,"KR7003070000",0.146033651490103,0.00121859404430282,0.00834461120343488
