"stock2","dg","mm","espread","qspread","rspread","adv_selection","amihud","volatility","volume","dvolume","nr_trades","price","ret","mktcap","sig.s","sig.p","PE","month","pre_mm","post_mm","post_mm2","prolong","Ksq"
7160,28,1,0.25180598051,0.2061905995,0.013369551615,0.2400971315,0.841826967154578,1.36931758411721,16.52505,1.13527038,1459.55,68.72,2.97176820208025,343.6,0.000636323084116991,0.00432163245998796,0.169654026040446,201704,0,0,1,1,0
7160,29,1,0.275160948421053,0.211836282105263,0.0692175277894737,0.20840964631579,0.775693832550229,2.13207134039881,27.8580526315789,2.00408537894737,2082.26315789474,70.9368421052632,10.5339105339105,354.684210526316,0.000714013187609925,0.00595855797771039,0.181947083219333,201705,0,0,1,1,0
7160,30,1,0.245041322857143,0.196660720361905,-0.0189796470761905,0.264665714761905,0.558707510590059,2.81395350639188,43.0616595238094,3.45438586761904,3448.11476190476,82.2857142857143,1.67975114699053,411.428571428571,0.000536885602935049,0.00773035579621621,0.0813442585449545,201706,0,0,1,1,0
7160,31,1,0.291082290961905,0.20853980607619,0.0469352538095238,0.240750264285714,0.875378542043363,2.24408227017127,19.944619047619,1.55837225238095,2646.90476190476,78.0285714285714,-4.85074626865671,390.142857142857,0.000594778812430348,0.00600500693752522,0.121532610655182,201707,0,0,1,1,0
7160,32,1,0.244712774109091,0.206611348581818,0.0624401722727273,0.180962689090909,0.925868089228548,1.63856770648415,18.7707272727273,1.39898913636364,2373.40909090909,75.1181818181818,-1.43790849673201,375.590909090909,0.000556324432939228,0.00549278243477701,0.123049211993975,201708,0,0,1,1,0
7160,33,1,0.294449190009524,0.21262278327619,0.0602693485714286,0.239117291142857,1.47701510747538,1.33214461165883,13.526,0.947873885714286,1621.66666666667,69.8142857142857,-11.1405835543767,349.071428571429,0.000602378485406135,0.00432888636211704,0.147335029371353,201709,0,0,1,1,0
7700,7,0,0.518841056956522,0.393073743478261,0.0789301000086956,0.428444537565217,1.60693578682678,3.79490667779926,110.397346086957,1.97395632391304,2102.26086956522,17.8065217391304,-16.5156928869352,274.220434782609,0.0011875405102562,0.0118917379352091,0.126604009326324,201507,1,0,0,0,0
7700,8,0,0.54178867393,0.37247980607,0.13125835841,0.40772439816,1.45871551352841,4.13818971794063,122.841048,2.3787532882,3110.9535,18.9325,5.9142912550276,291.5605,0.00123066480428813,0.0150141809677718,0.0919929246618466,201508,1,0,0,0,0
7700,9,0,0.48668669,0.4010792995,0.0804610772,0.41137614862,2.82065382448723,3.41150724370997,55.2072,0.9666038875,1550.6,17.405,5.16304347826082,268.037,0.00132589921877578,0.0104649812266719,0.166723368607926,201509,1,0,0,0,0
7700,10,0,0.434217891904762,0.337901464285714,0.114601940952381,0.312121265238095,1.06753266939392,3.00726594081644,90.2741885714286,1.94538272209524,4090.81285714286,21.0857142857143,2.84237726098193,324.72,0.00102605855760119,0.0111383969119345,0.102544694815093,201510,1,0,0,0,0
7700,11,0,0.494103308571429,0.35561252047619,0.087132830952381,0.400993597619048,1.87804135274079,2.50497562505458,59.8838095238095,1.09647236666667,2876.57142857143,18.5238095238095,-16.5829145728643,285.266666666667,0.00119809956542854,0.0109540941942647,0.148197924531103,201511,1,0,0,0,0
7700,12,0,0.506938984695238,0.395538324285714,0.1282844542,0.3675650172,2.48513702751018,4.15951870592801,74.6053333333333,1.18909465952381,3006.7619047619,15.9857142857143,5.92996932057317,246.18,0.00126533299024648,0.0116454480774387,0.128102521501343,201512,1,0,0,0,0
7700,13,0,0.5167374015,0.423127942,0.146796791,0.360349922,2.4162100961992,2.65762376246334,62.6031,0.9520651975,2042.8,15.1275,-12.2974631155484,232.9635,0.00144475442533103,0.0106875339765287,0.155219272237063,201601,1,0,0,0,0
7700,14,0,0.514199295,0.432222192777778,0.185944130455555,0.328368096733333,2.5519701104625,3.57045648141419,86.0492777777778,1.14123547222222,3233.77777777778,13.4888888888889,-8.07290467902229,207.728888888889,0.00141756389069502,0.00992323783905559,0.172388013661777,201602,1,0,0,0,0
7700,15,0,0.414962111666667,0.37876349,0.0953864688888889,0.314533573333333,1.7032781423647,2.39175236461865,71.1675,1.05105131388889,2468.72222222222,14.8388888888889,9.59409594095939,228.518888888889,0.00134142495494088,0.00771018441477699,0.201615059842066,201603,1,0,0,0,0
7700,16,0,0.548841590358333,0.401084146666667,0.203783794925,0.354714562083333,2.40975029907814,1.90746427075819,40.1737083333333,0.5764912875,1700.44,14.2666666666667,-12.4579124579125,219.706666666667,0.00143755554751658,0.00643483594546067,0.263285593200598,201604,0,1,0,0,0
7700,17,0,0.56755582836,0.44925874307,0.2350151735,0.3474111925,2.82941059205234,2.47141452549179,52.8449,0.6945348475,1371.956,13.0475,8.07692307692307,200.9315,0.00164694375499493,0.00671219932170183,0.283832483787672,201605,0,1,0,0,0
7700,18,0,0.506589980952381,0.419749391495238,0.0711480576190476,0.43528220952381,3.64589956053434,2.50249791016798,45.8715114285714,0.653359635857143,1327.42857142857,14.0190476190476,1.06761565836297,215.893333333333,0.001540062214358,0.00876259616660336,0.223153434507198,201606,0,1,0,0,0
7700,19,0,0.514276215238095,0.413967901428571,0.20968696952381,0.295554423333333,2.13339350736649,1.87569484759277,51.3911366666667,0.705830135761905,1274.33333333333,13.6952380952381,3.16901408450705,210.906666666667,0.00162918453781346,0.00601889723474426,0.318481937344053,201607,0,1,0,0,0
7700,20,0,0.482626036363636,0.422422896427273,0.213384407272727,0.266344635636364,3.07438111396003,2.44377832804293,46.3995395454545,0.682609516,1501.80363636364,14.4954545454545,-5.46075085324234,223.23,0.00170488639854646,0.00646593443335736,0.301506564220283,201608,0,1,0,1,0
7700,21,0,0.491790595789474,0.412447445863158,0.185567267894737,0.313046377368421,1.676187197525,1.55305902555394,53.3598421052632,0.767059557894737,1371.84210526316,14.2921052631579,12.9963898916967,220.098421052632,0.00166649870006428,0.00666082224697332,0.291172332298199,201609,0,1,0,1,0
7700,22,0,0.4512079555,0.367956329,0.1328379275,0.31921677621,2.10176206621615,2.5793586121673,59.8517,0.9838518575,2351.95,16.465,2.87539936102239,253.561,0.00129921965702461,0.00830593329798668,0.182736991210969,201610,0,1,0,1,0
7700,23,0,0.436724314090909,0.369956143636364,0.117937176363636,0.311120329090909,1.97075672555405,2.52306358504116,57.8273181818182,0.967749218181818,2576.86363636364,16.6977272727273,4.03726708074534,257.145,0.0012743500277915,0.00801506449664001,0.205224680644157,201611,0,1,0,1,0
7700,24,0,0.399250072380952,0.322765342857143,0.0819320466666667,0.315337745714286,1.09977089995631,1.77112561419915,76.3927619047619,1.31602434285714,2971.90476190476,17.1880952380952,4.17910447761192,264.696666666667,0.0011485021117399,0.00640016387721519,0.210751022354944,201612,0,1,0,1,0
7700,25,0,0.352671906,0.323477616,0.109666055,0.2440612175,1.41571455598231,2.04656089418084,72.6674,1.233485455,3247.4,17.0675,5.44412607449856,262.8395,0.00123597260331382,0.00596265095264366,0.24574990518933,201701,0,0,1,1,0
7700,26,0,0.3677010125,0.29177961,0.0285434487,0.3466045585,1.10225743253148,2.85464161382241,83.411996,1.8441167582,3359.4535,21.815,27.4303858141524,335.951,0.00103294691940856,0.00771310837110025,0.180642261582354,201702,0,0,1,1,0
7700,27,0,0.258403659545455,0.22316311,-0.0442303581818182,0.303429494090909,0.895271350626774,2.57350989635091,65.9842272727273,1.72005657272727,3431.72727272727,26.2545454545455,12.0253164556962,404.32,0.000785929580863342,0.00787384725718437,0.140312318284453,201703,0,0,1,1,0
7700,28,0,0.3230789405,0.243923874,0.028829004,0.2963867195,1.56230637736788,3.32448087758275,65.348,1.6829368925,3552.85,25.9675,1.50659133709981,399.8995,0.000850844716108009,0.00875313459254991,0.116706319782647,201704,0,0,1,1,0
7700,29,0,0.253951797378947,0.202919335789474,-0.116809363684211,0.367193859473684,1.08180671334737,2.71309582005355,74.4097368421053,2.17596173231579,4161.63157894737,29.4052631578947,11.317254174397,452.841052631579,0.000708990589082862,0.00739893574953494,0.118961499925318,201705,0,0,1,1,0
7700,30,0,0.239625958580952,0.227523282857143,-0.102909559990476,0.342382834285714,1.61617917311421,3.13431133091901,51.179,1.50389605,3307.14285714286,29.3738095238095,-8.51473687240184,452.356666666667,0.00069907875072448,0.00789867671138793,0.106227970393832,201706,0,0,1,1,0
7700,31,0,0.265864242380952,0.22648633952381,-0.0372578585714286,0.299051569047619,1.81655387565186,2.96229903710529,44.8697142857143,1.28494997380952,3296.80952380952,28.3904761904762,1.63043478260869,437.213333333333,0.00082941998266439,0.008092609546853,0.129335255120362,201707,0,0,1,1,0
7700,32,0,0.268458072736364,0.212315844836364,-0.0365594855681818,0.303394103181818,1.23306600866296,2.46537579545583,74.5042609090909,2.30624476654545,4104.54863636364,30.3863636363636,33.5115864527629,467.95,0.000752179797459504,0.0083022584453868,0.123352801186256,201708,0,0,1,1,0
7700,33,0,0.225946523838095,0.193980122952381,-0.0784218260952381,0.304947815904762,0.844274963661635,2.90705432355528,64.6885714285714,2.47710116428571,4745.00333333333,37.8909523809524,9.47930574098799,583.520666666667,0.000611372226341254,0.00794626573315488,0.0880555763718146,201709,0,0,1,1,0
13520,7,1,0.449932102608696,0.362803101304348,0.00674118152173913,0.4644887364,2.43620708925595,2.5576747617681,26.9784782608696,0.874388041304348,996.130434782609,3.2295652173913,-10.1396421351136,20.9066882137522,0.0012166767022593,0.0104816084225038,0.167135571167599,201507,1,0,0,0,0
13520,8,1,0.373673444,0.3070710095,-0.02385460275,0.40770724756,1.92558717562309,3.81383695528345,68.1319,2.637708663675,2948.756,3.72825,36.4723028730415,24.07003311825,0.000905800011251246,0.0155637881487085,0.088033706506989,201508,1,0,0,0,0
13520,9,1,0.2554668095,0.2135660775,-0.0680548605,0.3190853355,0.940318403574606,3.44597359418881,62.5659,2.77052008735,3462.2,4.572855,5.11945392491466,29.6174550875,0.000665891659318025,0.0111691537485762,0.0723416184319938,201509,1,0,0,0,0
13520,10,1,0.264522183333333,0.210743462857143,-0.0471653852380952,0.311617571428571,1.58196471464351,2.68679369275915,31.182619047619,1.38437912142857,3052.09523809524,4.39387619047619,-11.3636363636364,28.41615543,0.000650820733345655,0.00860476086753519,0.0818138979247492,201510,1,0,0,0,0
13520,11,1,0.432987863809524,0.281197807619048,0.0198794147619048,0.404415387619048,1.53443387854433,2.1901547129945,23.1233333333333,0.89527869047619,1528.71428571429,3.90547619047619,-0.15827435086242,25.2142268483333,0.00085992558810264,0.0084938996197951,0.129145826528279,201511,1,0,0,0,0
13520,12,1,0.463400601119048,0.328862973809524,0.114490555238095,0.361043055714286,2.58634736040413,2.1763939109417,18.6258095238095,0.682321857142857,966.380952380952,3.67285714285714,-2.99999999999998,23.71241013,0.00124143511961434,0.00622299953882978,0.226145568959678,201512,1,0,0,0,0
